tweet_id,source,rating_numerator,rating_denominator,name,day,time,dog_stage,retweet_count,favorite_count,breed,confidence
890240255349198849,Twitter for iPhone,14,10,Cassie,2017-07-26,2022-09-14 15:59:51,doggo,7711,32467,pembroke,0.511319
884162670584377345,Twitter for iPhone,12,10,Yogi,2017-07-09,2022-09-14 21:29:42,doggo,3128,20771,german shepherd,0.707046
871515927908634625,Twitter for iPhone,12,10,Napolean,2017-06-04,2022-09-14 23:56:03,doggo,3628,20730,komondor,0.974781
869596645499047938,Twitter for iPhone,12,10,Scout,2017-05-30,2022-09-14 16:49:31,doggo,3327,16476,chihuahua,0.955156
846514051647705089,Twitter for iPhone,13,10,Barney,2017-03-28,2022-09-14 00:07:32,doggo,13076,48410,golden retriever,0.650003
845397057150107648,Twitter for iPhone,13,10,Mimosa,2017-03-24,2022-09-14 22:08:59,doggo,2072,8241,dandie dinmont,0.394404
836753516572119041,Twitter for iPhone,12,10,Meera,2017-03-01,2022-09-14 01:42:39,doggo,5237,21029,schipperke,0.0115635
832998151111966721,Twitter for iPhone,13,10,Rhino,2017-02-18,2022-09-14 17:00:10,doggo,2522,14549,boxer,0.539036
832273440279240704,Twitter for iPhone,14,10,Smiley,2017-02-16,2022-09-14 17:00:25,doggo,2673,12385,pembroke,0.134081
832032802820481025,Twitter for iPhone,12,10,Miguel,2017-02-16,2022-09-14 01:04:13,doggo,4746,13887,whippet,0.601712
831939777352105988,Twitter for iPhone,12,10,Emanuel,2017-02-15,2022-09-14 18:54:34,doggo,7031,26404,pomeranian,0.153862
831322785565769729,Twitter for iPhone,12,10,Pete,2017-02-14,2022-09-14 02:02:51,doggo,1744,10042,old english sheepdog,0.999715
829374341691346946,Twitter for iPhone,13,10,Astrid,2017-02-08,2022-09-14 17:00:26,doggo,10706,38074,staffordshire bullterrier,0.757547
828381636999917570,Twitter for iPhone,14,10,Doobert,2017-02-05,2022-09-14 23:15:47,doggo,2554,13864,bedlington terrier,0.3925349999999999
826958653328592898,Twitter for iPhone,12,10,Loki,2017-02-02,2022-09-14 01:01:21,doggo,5757,23767,golden retriever,0.6173890000000001
826848821049180160,Twitter for iPhone,13,10,Cupid,2017-02-01,2022-09-14 17:44:55,doggo,11878,40325,great pyrenees,0.858764
826476773533745153,Twitter for iPhone,12,10,Pilot,2017-01-31,2022-09-14 17:06:32,doggo,4821,20275,german shepherd,0.7418600000000001
821765923262631936,Twitter for iPhone,13,10,Duchess,2017-01-18,2022-09-14 17:07:18,doggo,1899,9317,golden retriever,0.980071
821407182352777218,Twitter for iPhone,14,10,Sundance,2017-01-17,2022-09-14 17:21:47,doggo,5053,13075,irish setter,0.5054960000000001
819006400881917954,Twitter for iPhone,14,10,Sunny,2017-01-11,2022-09-14 02:21:57,doggo,21794,49960,,0.0
819004803107983360,Twitter for iPhone,14,10,Bo,2017-01-11,2022-09-14 02:15:36,doggo,42228,95450,standard poodle,0.351308
817777686764523521,Twitter for iPhone,13,10,Dido,2017-01-07,2022-09-14 16:59:28,doggo,3084,11901,curly-coated retriever,0.733256
817777686764523521,Twitter for iPhone,13,10,Dido,2017-01-07,2022-09-14 16:59:28,pupper,3084,11901,curly-coated retriever,0.733256
813910438903693312,Twitter for iPhone,11,10,Chubbs,2016-12-28,2022-09-14 00:52:25,doggo,2194,10342,siberian husky,0.6993550000000001
813096984823349248,Twitter for iPhone,11,10,Rocky,2016-12-25,2022-09-14 19:00:02,doggo,4207,11694,great dane,0.128056
801115127852503040,Twitter for iPhone,12,10,Bones,2016-11-22,2022-09-14 17:28:25,doggo,2429,8992,dalmatian,0.823356
801115127852503040,Twitter for iPhone,12,10,Bones,2016-11-22,2022-09-14 17:28:25,pupper,2429,8992,dalmatian,0.823356
799757965289017345,Twitter for iPhone,13,10,Sobe,2016-11-18,2022-09-14 23:35:32,doggo,2506,9390,border collie,0.442534
786363235746385920,Twitter for iPhone,13,10,Rizzo,2016-10-13,2022-09-14 00:29:39,doggo,4072,12189,golden retriever,0.929266
785639753186217984,Twitter for iPhone,10,10,Pinot,2016-10-11,2022-09-14 00:34:48,doggo,2561,8735,,0.0
785639753186217984,Twitter for iPhone,10,10,Pinot,2016-10-11,2022-09-14 00:34:48,pupper,2561,8735,,0.0
782747134529531904,Twitter for iPhone,11,10,Deacon,2016-10-03,2022-09-14 01:00:34,doggo,1604,8310,golden retriever,0.560699
782305867769217024,Twitter for iPhone,12,10,Sampson,2016-10-01,2022-09-14 19:47:08,doggo,6470,18630,briard,0.5044270000000001
775733305207554048,Twitter for iPhone,11,10,Anakin,2016-09-13,2022-09-14 16:30:07,doggo,4627,15413,,0.0
775364825476165632,Twitter for iPhone,11,10,Finley,2016-09-12,2022-09-14 16:05:54,doggo,3472,8295,beagle,0.571229
768193404517830656,Twitter for iPhone,8,10,Gerald,2016-08-23,2022-09-14 21:09:14,doggo,4080,12157,,0.0
760893934457552897,Twitter for iPhone,11,10,Wishes,2016-08-03,2022-09-14 17:43:45,doggo,1104,4228,blenheim spaniel,0.113992
759793422261743616,Twitter for iPhone,12,10,Maggie,2016-07-31,2022-09-14 16:50:42,doggo,2173,6620,golden retriever,0.985876
759793422261743616,Twitter for iPhone,12,10,Maggie,2016-07-31,2022-09-14 16:50:42,pupper,2173,6620,golden retriever,0.985876
755206590534418437,Twitter for iPhone,14,10,one,2016-07-19,2022-09-14 01:04:16,doggo,6148,18212,,0.0
750011400160841729,TweetDeck,11,10,Piper,2016-07-04,2022-09-14 17:00:26,doggo,1035,3568,boston bull,0.0871498
